# INL run
# wait_settle = 15
# samples_per_meter_per_step = 1
# NPLC = 100
vref,3458A_volt,3458B_volt,CH1281_volt
-10.25,-10.24994725,-10.25002833,-10.249971
-10.0,-9.999948415,-10.00002812,-9.9999708
-9.75,-9.74995036,-9.750028326,-9.7499723
-9.5,-9.499952057,-9.500028354,-9.4999742
-9.25,-9.249954501,-9.250028308,-9.2499753
-9.0,-8.999954982,-9.000027925,-8.9999754
-8.75,-8.749956488,-8.750028305,-8.7499768
-8.5,-8.499958082,-8.50002801,-8.4999786
-8.25,-8.24995915,-8.25002776,-8.2499788
-8.0,-7.999960392,-8.000027274,-7.9999796
-7.75,-7.749961767,-7.750027551,-7.7499815
-7.5,-7.499963903,-7.500027418,-7.4999816
-7.25,-7.249963608,-7.250026595,-7.2499821
-7.0,-6.999965554,-7.000025831,-6.9999834
-6.75,-6.749966914,-6.750026138,-6.7499843
-6.5,-6.499968962,-6.500026165,-6.4999855
-6.25,-6.249969926,-6.25002546,-6.2499857
-6.0,-5.999971111,-6.000025033,-5.999987
-5.75,-5.749972705,-5.750024856,-5.7499884
-5.5,-5.49997364,-5.500024253,-5.4999895
-5.25,-5.249975527,-5.2500239,-5.2499896
-5.0,-4.999977224,-5.000023869,-4.9999906
-4.75,-4.749978994,-4.750023501,-4.7499917
-4.5,-4.499979944,-4.500022385,-4.4999924
-4.25,-4.249980982,-4.250022472,-4.2499931
-4.0,-3.999982298,-4.000022206,-3.9999939
-3.75,-3.749983306,-3.750021735,-3.7499945
-3.5,-3.499984329,-3.500021118,-3.4999961
-3.25,-3.249986333,-3.250021087,-3.2499976
-3.0,-2.999987283,-3.000020602,-2.9999986
-2.75,-2.749988321,-2.750019926,-2.7499994
-2.5,-2.499989491,-2.500019558,-2.5000003
-2.25,-2.249990924,-2.250019146,-2.2500007
-2.0,-1.999991478,-2.000018353,-2.0000011
-1.75,-1.749992824,-1.750017867,-1.7500026
-1.5,-1.499994198,-1.500017485,-1.5000037
-1.25,-1.249995543,-1.250017512,-1.2500047
-1.0,-0.9999964933,-1.000016631,-1.0000052
-0.75,-0.7499971943,-0.7500159699,-0.7500065
-0.5,-0.4999986713,-0.5000156751,-0.5000071
-0.25,-0.2499992405,-0.2500145887,-0.2500081
0.0,1.464414791e-08,-1.322369385e-05,-7.7e-06
0.25,0.2499991673,0.249987247,0.2499911
0.5,0.4999992717,0.4999886266,0.4999918
0.75,0.7499983804,0.7499897277,0.7499909
1.0,0.9999972841,0.9999901398,0.9999903
1.25,1.249995895,1.249990361,1.2499898
1.5,1.499995194,1.49999158,1.4999899
1.75,1.749993805,1.74999183,1.7499885
2.0,1.999992679,1.999992316,1.9999876
2.25,2.249992081,2.249993387,2.2499875
2.5,2.499990809,2.499993888,2.4999874
2.75,2.749989537,2.749994666,2.749986
3.0,2.999988616,2.999994726,2.9999848
3.25,3.249988105,3.249995813,3.2499848
3.5,3.499986731,3.499996078,3.4999844
3.75,3.749985371,3.749996886,3.7499824
4.0,3.999984699,3.999997533,3.9999835
4.25,4.249983618,4.249998077,4.2499816
4.5,4.499982038,4.499998767,4.4999806
4.75,4.749980971,4.749999077,4.7499804
5.0,4.999980358,4.999999855,4.9999796
5.25,5.249978515,5.250000253,5.2499784
5.5,5.499977272,5.500000445,5.4999775
5.75,5.749976659,5.75000137,5.7499773
6.0,5.999975548,6.000001415,5.9999758
6.25,6.249974188,6.250001798,6.2499753
6.5,6.499972813,6.50000243,6.4999742
6.75,6.749971907,6.750003003,6.7499735
7.0,6.999970474,7.000003137,6.9999732
7.25,7.249969422,7.250003666,7.2499716
7.5,7.499968472,7.500004166,7.4999716
7.75,7.74996742,7.750004813,7.7499701
8.0,7.999965825,8.000004726,7.9999695
8.25,8.249964846,8.25000527,8.2499681
8.5,8.499963281,8.500006064,8.4999673
8.75,8.749962404,8.750005875,8.7499658
9.0,8.999960883,9.000006199,8.9999652
9.25,9.24995986,9.250006992,9.249964
9.5,9.499957651,9.500006891,9.4999642
9.75,9.74995676,9.750007611,9.7499619
10.0,9.999954917,10.00000725,9.9999603
10.25,10.24995446,10.25000791,10.2499609
